,url,title,year,genre,gross_usa,budget,worldwide_gross,pg_rated,rating,rating_pop
173,https://www.imdb.com/title/tt0182689/,Álamos talados,1960,,,,,,7.3,6
174,https://www.imdb.com/title/tt0053668/,Bottoms Up,1960,['Comedy'],,,,,6.2,143
175,https://www.imdb.com/title/tt0053666/,Les Bonnes Femmes,1960,"['Drama', 'Mystery', 'Romance']","$6,578",,,,7.4,"2,269"
176,https://www.imdb.com/title/tt0053985/,Kanoon,1960,"['Drama', 'Crime', 'Mystery', 'Thriller']",,,,,7.8,352
177,https://www.imdb.com/title/tt0054295/,Seven Thieves,1960,"['Crime', 'Drama']",,"$1,650,000",,,6.5,"1,186"
178,https://www.imdb.com/title/tt0054209/,Private Property,1960,"['Crime', 'Drama']",,"$60,000",,,6.8,602
179,https://www.imdb.com/title/tt0054296/,Seven Ways from Sundown,1960,"['Action', 'Adventure', 'Drama', 'Western']",,"$500,000",,,7.0,766
180,https://www.imdb.com/title/tt0055296/,The Pharaohs' Woman,1960,"['Adventure', 'History', 'Romance']",,,,,6.5,31
181,https://www.imdb.com/title/tt0053780/,Sweet Deceptions,1960,"['Drama', 'Romance']",,,,,6.9,201
182,https://www.imdb.com/title/tt0053273/,The Shakedown,1960,"['Crime', 'Drama']",,,,,6.7,181
183,https://www.imdb.com/title/tt0054354/,Sunrise at Campobello,1960,"['Biography', 'Drama']",,,,,7.0,"1,057"
184,https://www.imdb.com/title/tt0053675/,A Breath of Scandal,1960,"['Drama', 'Comedy', 'Romance']",,,,,5.5,704
185,https://www.imdb.com/title/tt0053440/,I Aim at the Stars,1960,"['Biography', 'Drama']",,,,,6.4,174
186,https://www.imdb.com/title/tt0054437/,Goliath and the Dragon,1960,"['Action', 'Adventure', 'Fantasy', 'Romance']",,,,,5.3,424
187,https://www.imdb.com/title/tt0054091/,Moderato cantabile,1960,['Drama'],,,,,6.8,670
188,https://www.imdb.com/title/tt0054286/,Seishun zankoku monogatari,1960,"['Crime', 'Drama']",,,"$2,496",,7.0,"1,971"
189,https://www.imdb.com/title/tt0053931/,The Hypnotic Eye,1960,['Horror'],,"$365,000",,,5.8,595
190,https://www.imdb.com/title/tt0053706/,Chaudhvin Ka Chand,1960,"['Drama', 'Musical', 'Romance']",,,,,7.2,408
191,https://www.imdb.com/title/tt0193458/,Ren hai gu hong,1960,"['Drama', 'Family']",,,,,7.3,78
192,https://www.imdb.com/title/tt0054243/,The Rise and Fall of Legs Diamond,1960,"['Crime', 'History']",,,,,6.8,971
193,https://www.imdb.com/title/tt0054049/,Make Mine Mink,1960,['Comedy'],,,,,7.0,960
194,https://www.imdb.com/title/tt0053693/,La caperucita roja,1960,"['Drama', 'Fantasy']",,,,,5.9,97
195,https://www.imdb.com/title/tt0054348/,Studs Lonigan,1960,['Drama'],,,,,5.0,254
196,https://www.imdb.com/title/tt0054891/,Foxhole in Cairo,1960,"['War', 'Drama']",,,,,5.7,115
197,https://www.imdb.com/title/tt0053958/,It Takes a Thief,1960,"['Crime', 'Drama', 'Thriller']",,,,,6.2,238
198,https://www.imdb.com/title/tt0053648/,Beware of Children,1960,['Comedy'],,,,,5.6,132
199,https://www.imdb.com/title/tt0054058/,Man on a String,1960,"['Action', 'Crime', 'Drama', 'Thriller']",,,,,6.2,307
200,https://www.imdb.com/title/tt0053965/,Jis Desh Men Ganga Behti Hai,1960,"['Drama', 'Musical', 'Romance']",,,,,7.4,400
201,https://www.imdb.com/title/tt0053637/,Barsaat Ki Raat,1960,"['Drama', 'Musical', 'Romance']",,,,,6.9,112
202,https://www.imdb.com/title/tt0053683/,The Bulldog Breed,1960,['Comedy'],,,,,6.3,738
203,https://www.imdb.com/title/tt0175743/,Holubice,1960,['Drama'],,,,,7.4,534
204,https://www.imdb.com/title/tt0054901/,Stop Me Before I Kill!,1960,"['Drama', 'Horror', 'Mystery', 'Thriller']",,,,,6.0,620
205,https://www.imdb.com/title/tt0054141/,"Once More, with Feeling!",1960,"['Comedy', 'Drama', 'Romance']",,,,,6.2,432
206,https://www.imdb.com/title/tt0055342/,The Pure Hell of St. Trinian's,1960,['Comedy'],,,,,6.2,708
207,https://www.imdb.com/title/tt0055133/,Man in the Moon,1960,"['Comedy', 'Romance']",,,,,6.1,281
208,https://www.imdb.com/title/tt0276898/,De tal palo tal astilla,1960,"['Comedy', 'Western']",,,,,6.3,10
209,https://www.imdb.com/title/tt0053936/,Ice Palace,1960,"['Adventure', 'Drama', 'History']",,,,,6.4,283
210,https://www.imdb.com/title/tt0054068/,Love and Larceny,1960,['Comedy'],,,,,7.2,599
211,https://www.imdb.com/title/tt0053641/,Because They're Young,1960,['Drama'],,,,,6.1,281
212,https://www.imdb.com/title/tt0052849/,The Girl in Lovers Lane,1960,"['Crime', 'Drama', 'Romance']",,,,,2.8,860
213,https://www.imdb.com/title/tt0052788/,Una estrella y dos estrellados,1960,['Comedy'],,,,,6.6,11
